0.0mA_x,0.0mA_y,0.1mA_x,0.1mA_y,0.2mA_x,0.2mA_y,0.3mA_x,0.3mA_y
526.7508,  0.7497,601.9139,  1.1308,619.2593,  1.3237,619.5636,  1.8487
528.4835,  0.7490,603.8939,  1.1326,621.2963,  1.3252,621.6016,  1.8498
530.2162,  0.7492,605.8739,  1.1343,623.3333,  1.3262,623.6396,  1.8508
531.9489,  0.7498,607.8539,  1.1360,625.3704,  1.3250,625.6777,  1.8519
533.6817,  0.7504,609.8338,  1.1377,627.4074,  1.3237,627.7157,  1.8530
535.4144,  0.7510,611.8138,  1.1403,629.4444,  1.3225,629.7538,  1.8540
537.1471,  0.7516,613.7938,  1.1430,631.4815,  1.3213,631.7918,  1.8551
538.8799,  0.7521,615.7738,  1.1457,633.5185,  1.3200,633.8298,  1.8561
540.6126,  0.7527,617.7538,  1.1484,635.5556,  1.3188,635.8679,  1.8572
542.3453,  0.7533,619.7337,  1.1511,637.5926,  1.3175,637.9059,  1.8582
544.0781,  0.7539,621.7137,  1.1538,639.6296,  1.3163,639.9439,  1.8593
545.8108,  0.7545,623.6937,  1.1565,641.6667,  1.3151,641.9820,  1.8603
547.5435,  0.7551,625.6737,  1.1592,643.7037,  1.3138,644.0200,  1.8614
549.2763,  0.7556,627.6537,  1.1618,645.7407,  1.3126,646.0581,  1.8624
551.0090,  0.7562,629.6336,  1.1645,647.7778,  1.3114,648.0961,  1.8635
552.7417,  0.7568,631.6136,  1.1672,649.8148,  1.3101,650.1341,  1.8645
554.4745,  0.7574,633.5936,  1.1699,651.8519,  1.3089,652.1722,  1.8656
556.2072,  0.7580,635.5736,  1.1726,653.8889,  1.3077,654.2102,  1.8666
557.9399,  0.7586,637.5536,  1.1753,655.9259,  1.3064,656.2482,  1.8677
559.6727,  0.7591,639.5335,  1.1780,657.9630,  1.3052,658.2863,  1.8687
561.4054,  0.7597,641.5135,  1.1807,660.0000,  1.3039,660.3243,  1.8698
563.1381,  0.7603,643.4935,  1.1834,662.0370,  1.3027,662.3624,  1.8708
564.8709,  0.7609,645.4735,  1.1860,664.0741,  1.3015,664.4004,  1.8719
566.6036,  0.7615,647.4535,  1.1887,666.1111,  1.3002,666.4384,  1.8729
568.3363,  0.7621,649.4334,  1.1914,668.1481,  1.2990,668.4765,  1.8740
570.0691,  0.7626,651.4134,  1.1941,670.1852,  1.2978,670.5145,  1.8751
571.8018,  0.7632,653.3934,  1.1968,672.2222,  1.2965,672.5526,  1.8761
573.5345,  0.7638,655.3734,  1.1995,674.2593,  1.2953,674.5906,  1.8772
575.2673,  0.7644,657.3534,  1.2022,676.2963,  1.2941,676.6286,  1.8782
577.0000,  0.7650,659.3333,  1.2049,678.3333,  1.2928,678.6667,  1.8793
578.7327,  0.7656,661.3133,  1.2075,680.3704,  1.2916,680.7047,  1.8803
580.4655,  0.7661,663.2933,  1.2102,682.4074,  1.2903,682.7427,  1.8814
582.1982,  0.7667,665.2733,  1.2129,684.4444,  1.2891,684.7808,  1.8824
583.9309,  0.7673,667.2533,  1.2156,686.4815,  1.2879,686.8188,  1.8835
585.6637,  0.7679,669.2332,  1.2183,688.5185,  1.2866,688.8569,  1.8845
587.3964,  0.7685,671.2132,  1.2210,690.5556,  1.2854,690.8949,  1.8856
589.1291,  0.7690,673.1932,  1.2237,692.5926,  1.2842,692.9329,  1.8866
590.8619,  0.7696,675.1732,  1.2264,694.6296,  1.2829,694.9710,  1.8877
592.5946,  0.7702,677.1532,  1.2290,696.6667,  1.2817,697.0090,  1.8887
594.3273,  0.7708,679.1331,  1.2317,698.7037,  1.2805,699.0470,  1.8898
596.0601,  0.7714,681.1131,  1.2344,700.7407,  1.2792,701.0851,  1.8908
597.7928,  0.7720,683.0931,  1.2371,702.7778,  1.2780,703.1231,  1.8919
599.5255,  0.7725,685.0731,  1.2398,704.8148,  1.2768,705.1612,  1.8929
601.2583,  0.7731,687.0531,  1.2425,706.8519,  1.2755,707.1992,  1.8940
602.9910,  0.7737,689.0330,  1.2452,708.8889,  1.2743,709.2372,  1.8950
604.7237,  0.7743,691.0130,  1.2479,710.9259,  1.2730,711.2753,  1.8961
606.4565,  0.7749,692.9930,  1.2505,712.9630,  1.2718,713.3133,  1.8972
608.1892,  0.7755,694.9730,  1.2532,715.0000,  1.2706,715.3514,  1.8982
609.9219,  0.7760,696.9530,  1.2559,717.0370,  1.2693,717.3894,  1.8993
611.6547,  0.7766,698.9329,  1.2586,719.0741,  1.2681,719.4274,  1.9003
613.3874,  0.7772,700.9129,  1.2613,721.1111,  1.2669,721.4655,  1.9014
615.1201,  0.7778,702.8929,  1.2640,723.1481,  1.2656,723.5035,  1.9024
616.8529,  0.7784,704.8729,  1.2667,725.1852,  1.2644,725.5415,  1.9035
618.5856,  0.7790,706.8529,  1.2694,727.2222,  1.2632,727.5796,  1.9045
620.3183,  0.7795,708.8328,  1.2720,729.2593,  1.2619,729.6176,  1.9056
622.0511,  0.7801,710.8128,  1.2747,731.2963,  1.2607,731.6557,  1.9066
623.7838,  0.7807,712.7928,  1.2774,733.3333,  1.2594,733.6937,  1.9077
625.5165,  0.7813,714.7728,  1.2801,735.3704,  1.2582,735.7317,  1.9087
627.2492,  0.7819,716.7528,  1.2828,737.4074,  1.2570,737.7698,  1.9098
628.9820,  0.7825,718.7327,  1.2855,739.4444,  1.2557,739.8078,  1.9108
630.7147,  0.7830,720.7127,  1.2882,741.4815,  1.2545,741.8458,  1.9119
632.4474,  0.7836,722.6927,  1.2909,743.5185,  1.2533,743.8839,  1.9129
634.1802,  0.7842,724.6727,  1.2936,745.5556,  1.2520,745.9219,  1.9140
635.9129,  0.7848,726.6527,  1.2962,747.5926,  1.2508,747.9600,  1.9150
637.6456,  0.7854,728.6326,  1.2989,749.6296,  1.2496,749.9980,  1.9161
639.3784,  0.7860,730.6126,  1.3016,751.6667,  1.2483,752.0360,  1.9174
641.1111,  0.7865,732.5926,  1.3043,753.7037,  1.2471,754.0741,  1.9188
642.8438,  0.7871,734.5726,  1.3070,755.7407,  1.2458,756.1121,  1.9201
644.5766,  0.7877,736.5526,  1.3097,757.7778,  1.2446,758.1502,  1.9214
646.3093,  0.7883,738.5325,  1.3124,759.8148,  1.2434,760.1882,  1.9228
648.0420,  0.7889,740.5125,  1.3151,761.8519,  1.2421,762.2262,  1.9241
649.7748,  0.7895,742.4925,  1.3177,763.8889,  1.2409,764.2643,  1.9255
651.5075,  0.7900,744.4725,  1.3204,765.9259,  1.2397,766.3023,  1.9268
653.2402,  0.7906,746.4525,  1.3231,767.9630,  1.2384,768.3403,  1.9281
654.9730,  0.7912,748.4324,  1.3258,770.0000,  1.2372,770.3784,  1.9295
656.7057,  0.7918,750.4124,  1.3285,772.0370,  1.2360,772.4164,  1.9308
658.4384,  0.7924,752.3924,  1.3312,774.0741,  1.2348,774.4545,  1.9322
660.1712,  0.7930,754.3724,  1.3339,776.1111,  1.2347,776.4925,  1.9335
661.9039,  0.7935,756.3524,  1.3366,778.1481,  1.2347,778.5305,  1.9348
663.6366,  0.7941,758.3323,  1.3392,780.1852,  1.2346,780.5686,  1.9362
665.3694,  0.7947,760.3123,  1.3419,782.2222,  1.2345,782.6066,  1.9376
667.1021,  0.7953,762.2923,  1.3446,784.2593,  1.2345,784.6446,  1.9390
668.8348,  0.7959,764.2723,  1.3473,786.2963,  1.2344,786.6827,  1.9404
670.5676,  0.7965,766.2523,  1.3500,788.3333,  1.2344,788.7207,  1.9419
672.3003,  0.7970,768.2322,  1.3527,790.3704,  1.2343,790.7588,  1.9433
674.0330,  0.7976,770.2122,  1.3554,792.4074,  1.2343,792.7968,  1.9447
675.7658,  0.7982,772.1922,  1.3581,794.4444,  1.2342,794.8348,  1.9461
677.4985,  0.7988,774.1722,  1.3607,796.4815,  1.2341,796.8729,  1.9475
679.2312,  0.7994,776.1522,  1.3634,798.5185,  1.2341,798.9109,  1.9489
680.9640,  0.8000,778.1321,  1.3661,800.5556,  1.2340,800.9489,  1.9503
682.6967,  0.8005,780.1121,  1.3688,802.5926,  1.2340,802.9870,  1.9518
684.4294,  0.8011,782.0921,  1.3715,804.6296,  1.2339,805.0250,  1.9532
686.1622,  0.8017,784.0721,  1.3742,806.6667,  1.2339,807.0631,  1.9546
687.8949,  0.8023,786.0521,  1.3771,808.7037,  1.2338,809.1011,  1.9560
689.6276,  0.8029,788.0320,  1.3803,810.7407,  1.2338,811.1391,  1.9574
691.3604,  0.8035,790.0120,  1.3835,812.7778,  1.2337,813.1772,  1.9588
693.0931,  0.8040,791.9920,  1.3867,814.8148,  1.2336,815.2152,  1.9603
694.8258,  0.8046,793.9720,  1.3899,816.8519,  1.2336,817.2533,  1.9617
696.5586,  0.8052,795.9520,  1.3931,818.8889,  1.2335,819.2913,  1.9631
698.2913,  0.8058,797.9319,  1.3963,820.9259,  1.2335,821.3293,  1.9645
700.0240,  0.8064,799.9119,  1.3995,822.9630,  1.2334,823.3674,  1.9659
701.7568,  0.8070,801.8919,  1.4027,825.0000,  1.2334,825.4054,  1.9673
703.4895,  0.8075,803.8719,  1.4059,827.0370,  1.2333,827.4434,  1.9687
705.2222,  0.8081,805.8519,  1.4086,829.0741,  1.2333,829.4815,  1.9702
706.9550,  0.8087,807.8318,  1.4106,831.1111,  1.2332,831.5195,  1.9716
708.6877,  0.8093,809.8118,  1.4126,833.1481,  1.2331,833.5576,  1.9730
710.4204,  0.8099,811.7918,  1.4146,835.1852,  1.2331,835.5956,  1.9744
712.1532,  0.8104,813.7718,  1.4166,837.2222,  1.2330,837.6336,  1.9758
713.8859,  0.8110,815.7518,  1.4186,839.2593,  1.2330,839.6717,  1.9772
715.6186,  0.8116,817.7317,  1.4206,841.2963,  1.2329,841.7097,  1.9786
717.3514,  0.8122,819.7117,  1.4226,843.3333,  1.2329,843.7477,  1.9801
719.0841,  0.8128,821.6917,  1.4246,845.3704,  1.2328,845.7858,  1.9815
720.8168,  0.8134,823.6717,  1.4266,847.4074,  1.2327,847.8238,  1.9829
722.5495,  0.8139,825.6517,  1.4286,849.4444,  1.2327,849.8619,  1.9843
724.2823,  0.8145,827.6316,  1.4306,851.4815,  1.2326,851.8999,  1.9857
726.0150,  0.8151,829.6116,  1.4326,853.5185,  1.2326,853.9379,  1.9871
727.7477,  0.8157,831.5916,  1.4346,855.5556,  1.2325,855.9760,  1.9886
729.4805,  0.8163,833.5716,  1.4365,857.5926,  1.2325,858.0140,  1.9900
731.2132,  0.8169,835.5516,  1.4385,859.6296,  1.2324,860.0521,  1.9914
732.9459,  0.8174,837.5315,  1.4405,861.6667,  1.2324,862.0901,  1.9928
734.6787,  0.8180,839.5115,  1.4425,863.7037,  1.2323,864.1281,  1.9942
736.4114,  0.8186,841.4915,  1.4445,865.7407,  1.2322,866.1662,  1.9956
738.1441,  0.8192,843.4715,  1.4465,867.7778,  1.2322,868.2042,  1.9970
739.8769,  0.8198,845.4515,  1.4485,869.8148,  1.2321,870.2422,  1.9985
741.6096,  0.8204,847.4314,  1.4505,871.8519,  1.2321,872.2803,  1.9999
743.3423,  0.8209,849.4114,  1.4525,873.8889,  1.2320,874.3183,  2.0013
745.0751,  0.8215,851.3914,  1.4545,875.9259,  1.2336,876.3564,  2.0027
746.8078,  0.8221,853.3714,  1.4565,877.9630,  1.2353,878.3944,  2.0041
748.5405,  0.8227,855.3514,  1.4585,880.0000,  1.2371,880.4324,  2.0055
750.2733,  0.8233,857.3313,  1.4605,882.0370,  1.2388,882.4705,  2.0069
752.0060,  0.8239,859.3113,  1.4625,884.0741,  1.2405,884.5085,  2.0084
753.7387,  0.8244,861.2913,  1.4645,886.1111,  1.2422,886.5465,  2.0098
755.4715,  0.8250,863.2713,  1.4665,888.1481,  1.2439,888.5846,  2.0112
757.2042,  0.8256,865.2513,  1.4685,890.1852,  1.2456,890.6226,  2.0126
758.9369,  0.8262,867.2312,  1.4704,892.2222,  1.2473,892.6607,  2.0140
760.6697,  0.8268,869.2112,  1.4724,894.2593,  1.2490,894.6987,  2.0154
762.4024,  0.8274,871.1912,  1.4744,896.2963,  1.2507,896.7367,  2.0169
764.1351,  0.8279,873.1712,  1.4764,898.3333,  1.2525,898.7748,  2.0183
765.8679,  0.8285,875.1512,  1.4784,900.3704,  1.2542,900.8128,  2.0197
767.6006,  0.8291,877.1311,  1.4804,902.4074,  1.2559,902.8509,  2.0211
769.3333,  0.8297,879.1111,  1.4824,904.4444,  1.2576,904.8889,  2.0225
771.0661,  0.8303,881.0911,  1.4844,906.4815,  1.2593,906.9269,  2.0239
772.7988,  0.8309,883.0711,  1.4864,908.5185,  1.2610,908.9650,  2.0253
774.5315,  0.8314,885.0511,  1.4875,910.5556,  1.2627,911.0030,  2.0268
776.2643,  0.8320,887.0310,  1.4886,912.5926,  1.2644,913.0410,  2.0282
777.9970,  0.8326,889.0110,  1.4897,914.6296,  1.2661,915.0791,  2.0296
779.7297,  0.8332,890.9910,  1.4908,916.6667,  1.2679,917.1171,  2.0310
781.4625,  0.8338,892.9710,  1.4919,918.7037,  1.2696,919.1552,  2.0324
783.1952,  0.8344,894.9510,  1.4930,920.7407,  1.2713,921.1932,  2.0338
784.9279,  0.8349,896.9309,  1.4941,922.7778,  1.2730,923.2312,  2.0353
786.6607,  0.8355,898.9109,  1.4952,924.8148,  1.2747,925.2693,  2.0367
788.3934,  0.8361,900.8909,  1.4963,926.8519,  1.2764,927.3073,  2.0381
790.1261,  0.8368,902.8709,  1.4975,928.8889,  1.2781,929.3453,  2.0395
791.8589,  0.8387,904.8509,  1.4986,930.9259,  1.2798,931.3834,  2.0409
793.5916,  0.8407,906.8308,  1.4997,932.9630,  1.2815,933.4214,  2.0423
795.3243,  0.8427,908.8108,  1.5008,935.0000,  1.2833,935.4595,  2.0437
797.0571,  0.8446,910.7908,  1.5019,937.0370,  1.2850,937.4975,  2.0452
798.7898,  0.8466,912.7708,  1.5030,939.0741,  1.2867,939.5355,  2.0466
800.5225,  0.8485,914.7508,  1.5041,941.1111,  1.2884,941.5736,  2.0480
802.2553,  0.8505,916.7307,  1.5052,943.1481,  1.2901,943.6116,  2.0494
803.9880,  0.8525,918.7107,  1.5063,945.1852,  1.2918,945.6496,  2.0508
805.7207,  0.8544,920.6907,  1.5074,947.2222,  1.2935,947.6877,  2.0522
807.4535,  0.8564,922.6707,  1.5086,949.2593,  1.2952,949.7257,  2.0536
809.1862,  0.8584,924.6507,  1.5097,951.2963,  1.2969,951.7638,  2.0551
810.9189,  0.8603,926.6306,  1.5108,953.3333,  1.2987,953.8018,  2.0565
812.6517,  0.8623,928.6106,  1.5119,955.3704,  1.3004,955.8398,  2.0579
814.3844,  0.8642,930.5906,  1.5130,957.4074,  1.3021,957.8779,  2.0593
816.1171,  0.8662,932.5706,  1.5141,959.4444,  1.3038,959.9159,  2.0607
817.8498,  0.8682,934.5506,  1.5152,961.4815,  1.3055,961.9540,  2.0621
819.5826,  0.8701,936.5305,  1.5163,963.5185,  1.3072,963.9920,  2.0636
821.3153,  0.8721,938.5105,  1.5174,965.5556,  1.3089,966.0300,  2.0650
823.0480,  0.8740,940.4905,  1.5185,967.5926,  1.3106,968.0681,  2.0664
824.7808,  0.8760,942.4705,  1.5196,969.6296,  1.3123,970.1061,  2.0678
826.5135,  0.8780,944.4505,  1.5208,971.6667,  1.3140,972.1441,  2.0692
828.2462,  0.8799,946.4304,  1.5219,973.7037,  1.3158,974.1822,  2.0706
829.9790,  0.8819,948.4104,  1.5230,975.7407,  1.3175,976.2202,  2.0720
831.7117,  0.8838,950.3904,  1.5241,977.7778,  1.3192,978.2583,  2.0735
833.4444,  0.8858,952.3704,  1.5252,979.8148,  1.3209,980.2963,  2.0749
835.1772,  0.8878,954.3504,  1.5263,981.8519,  1.3226,982.3343,  2.0763
836.9099,  0.8897,956.3303,  1.5274,983.8889,  1.3243,984.3724,  2.0777
838.6426,  0.8917,958.3103,  1.5285,985.9259,  1.3260,986.4104,  2.0791
840.3754,  0.8936,960.2903,  1.5296,987.9630,  1.3277,988.4484,  2.0805
842.1081,  0.8956,962.2703,  1.5307,990.0000,  1.3294,990.4865,  2.0810
843.8408,  0.8976,964.2503,  1.5318,992.0370,  1.3312,992.5245,  2.0811
845.5736,  0.8995,966.2302,  1.5330,994.0741,  1.3329,994.5626,  2.0812
847.3063,  0.9015,968.2102,  1.5341,996.1111,  1.3346,996.6006,  2.0813
849.0390,  0.9034,970.1902,  1.5352,998.1481,  1.3363,998.6386,  2.0814
850.7718,  0.9054,972.1702,  1.5363,1000.1852,  1.3380,1000.6767,  2.0815
852.5045,  0.9074,974.1502,  1.5374,1002.2222,  1.3397,1002.7147,  2.0816
854.2372,  0.9093,976.1301,  1.5385,1004.2593,  1.3414,1004.7528,  2.0817
855.9700,  0.9113,978.1101,  1.5396,1006.2963,  1.3431,1006.7908,  2.0818
857.7027,  0.9132,980.0901,  1.5407,1008.3333,  1.3448,1008.8288,  2.0819
859.4354,  0.9152,982.0701,  1.5418,1010.3704,  1.3466,1010.8669,  2.0820
861.1682,  0.9172,984.0501,  1.5429,1012.4074,  1.3483,1012.9049,  2.0821
862.9009,  0.9191,986.0300,  1.5440,1014.4444,  1.3500,1014.9429,  2.0822
864.6336,  0.9211,988.0100,  1.5452,1016.4815,  1.3517,1016.9810,  2.0823
866.3664,  0.9230,989.9900,  1.5463,1018.5185,  1.3534,1019.0190,  2.0824
868.0991,  0.9250,991.9700,  1.5474,1020.5556,  1.3551,1021.0571,  2.0825
869.8318,  0.9270,993.9499,  1.5485,1022.5926,  1.3568,1023.0951,  2.0827
871.5646,  0.9289,995.9299,  1.5496,1024.6296,  1.3585,1025.1331,  2.0828
873.2973,  0.9309,997.9099,  1.5507,1026.6667,  1.3602,1027.1712,  2.0829
875.0300,  0.9328,999.8899,  1.5518,1028.7037,  1.3620,1029.2092,  2.0830
876.7628,  0.9348,1001.8699,  1.5529,1030.7407,  1.3637,1031.2472,  2.0831
878.4955,  0.9368,1003.8498,  1.5540,1032.7778,  1.3654,1033.2853,  2.0832
880.2282,  0.9387,1005.8298,  1.5551,1034.8148,  1.3671,1035.3233,  2.0833
881.9610,  0.9407,1007.8098,  1.5562,1036.8519,  1.3687,1037.3614,  2.0834
883.6937,  0.9426,1009.7898,  1.5574,1038.8889,  1.3704,1039.3994,  2.0843
885.4264,  0.9446,1011.7698,  1.5585,1040.9259,  1.3720,1041.4374,  2.0855
887.1592,  0.9466,1013.7497,  1.5596,1042.9630,  1.3737,1043.4755,  2.0868
888.8919,  0.9485,1015.7297,  1.5607,1045.0000,  1.3753,1045.5135,  2.0881
890.6246,  0.9505,1017.7097,  1.5618,1047.0370,  1.3769,1047.5516,  2.0893
892.3574,  0.9524,1019.6897,  1.5629,1049.0741,  1.3786,1049.5896,  2.0906
894.0901,  0.9544,1021.6697,  1.5640,1051.1111,  1.3802,1051.6276,  2.0919
895.8228,  0.9564,1023.6496,  1.5651,1053.1481,  1.3819,1053.6657,  2.0931
897.5556,  0.9583,1025.6296,  1.5662,1055.1852,  1.3835,1055.7037,  2.0944
899.2883,  0.9603,1027.6096,  1.5673,1057.2222,  1.3852,1057.7417,  2.0956
901.0210,  0.9622,1029.5896,  1.5683,1059.2593,  1.3868,1059.7798,  2.0969
902.7538,  0.9642,1031.5696,  1.5689,1061.2963,  1.3884,1061.8178,  2.0982
904.4865,  0.9662,1033.5495,  1.5696,1063.3333,  1.3901,1063.8559,  2.0994
906.2192,  0.9681,1035.5295,  1.5702,1065.3704,  1.3917,1065.8939,  2.1007
907.9520,  0.9701,1037.5095,  1.5709,1067.4074,  1.3934,1067.9319,  2.1020
909.6847,  0.9720,1039.4895,  1.5715,1069.4444,  1.3950,1069.9700,  2.1032
911.4174,  0.9740,1041.4695,  1.5722,1071.4815,  1.3967,1072.0080,  2.1045
913.1502,  0.9760,1043.4494,  1.5728,1073.5185,  1.3983,1074.0460,  2.1058
914.8829,  0.9779,1045.4294,  1.5734,1075.5556,  1.3999,1076.0841,  2.1070
916.6156,  0.9799,1047.4094,  1.5741,1077.5926,  1.4016,1078.1221,  2.1083
918.3483,  0.9818,1049.3894,  1.5747,1079.6296,  1.4032,1080.1602,  2.1095
920.0811,  0.9838,1051.3694,  1.5754,1081.6667,  1.4049,1082.1982,  2.1108
921.8138,  0.9858,1053.3493,  1.5760,1083.7037,  1.4065,1084.2362,  2.1121
923.5465,  0.9877,1055.3293,  1.5766,1085.7407,  1.4082,1086.2743,  2.1133
925.2793,  0.9897,1057.3093,  1.5773,1087.7778,  1.4098,1088.3123,  2.1146
927.0120,  0.9916,1059.2893,  1.5779,1089.8148,  1.4114,1090.3504,  2.1159
928.7447,  0.9936,1061.2693,  1.5786,1091.8519,  1.4131,1092.3884,  2.1171
930.4775,  0.9956,1063.2492,  1.5792,1093.8889,  1.4147,1094.4264,  2.1184
932.2102,  0.9975,1065.2292,  1.5798,1095.9259,  1.4164,1096.4645,  2.1196
933.9429,  0.9995,1067.2092,  1.5817,1097.9630,  1.4180,1098.5025,  2.1209
935.6757,  1.0014,1069.1892,  1.5842,1100.0000,  1.4197,1100.5405,  2.1222
937.4084,  1.0034,1071.1692,  1.5868,1102.0370,  1.4213,1102.5786,  2.1234
939.1411,  1.0054,1073.1491,  1.5894,1104.0741,  1.4229,1104.6166,  2.1247
940.8739,  1.0073,1075.1291,  1.5919,1106.1111,  1.4246,1106.6547,  2.1260
942.6066,  1.0093,1077.1091,  1.5945,1108.1481,  1.4262,1108.6927,  2.1272
944.3393,  1.0112,1079.0891,  1.5970,1110.1852,  1.4279,1110.7307,  2.1285
946.0721,  1.0132,1081.0691,  1.5996,1112.2222,  1.4295,1112.7688,  2.1298
947.8048,  1.0152,1083.0490,  1.6022,1114.2593,  1.4311,1114.8068,  2.1310
949.5375,  1.0171,1085.0290,  1.6047,1116.2963,  1.4328,1116.8448,  2.1323
951.2703,  1.0191,1087.0090,  1.6073,1118.3333,  1.4344,1118.8829,  2.1335
953.0030,  1.0210,1088.9890,  1.6099,1120.3704,  1.4361,1120.9209,  2.1348
954.7357,  1.0230,1090.9690,  1.6124,1122.4074,  1.4377,1122.9590,  2.1361
956.4685,  1.0250,1092.9489,  1.6150,1124.4444,  1.4394,1124.9970,  2.1373
958.2012,  1.0269,1094.9289,  1.6176,1126.4815,  1.4410,1127.0350,  2.1386
959.9339,  1.0289,1096.9089,  1.6201,1128.5185,  1.4426,1129.0731,  2.1399
961.6667,  1.0309,1098.8889,  1.6227,1130.5556,  1.4443,1131.1111,  2.1411
963.3994,  1.0328,1100.8689,  1.6253,1132.5926,  1.4459,1133.1491,  2.1424
965.1321,  1.0348,1102.8488,  1.6278,1134.6296,  1.4476,1135.1872,  2.1436
966.8649,  1.0367,1104.8288,  1.6304,1136.6667,  1.4492,1137.2252,  2.1449
968.5976,  1.0387,1106.8088,  1.6330,1138.7037,  1.4509,1139.2633,  2.1462
970.3303,  1.0407,1108.7888,  1.6355,1140.7407,  1.4525,1141.3013,  2.1474
972.0631,  1.0426,1110.7688,  1.6381,1142.7778,  1.4541,1143.3393,  2.1487
973.7958,  1.0446,1112.7487,  1.6406,1144.8148,  1.4558,1145.3774,  2.1500
975.5285,  1.0465,1114.7287,  1.6432,1146.8519,  1.4574,1147.4154,  2.1512
977.2613,  1.0485,1116.7087,  1.6458,1148.8889,  1.4591,1149.4535,  2.1525
978.9940,  1.0505,1118.6887,  1.6483,1150.9259,  1.4607,1151.4915,  2.1538
980.7267,  1.0524,1120.6687,  1.6509,1152.9630,  1.4624,1153.5295,  2.1550
982.4595,  1.0544,1122.6486,  1.6535,1155.0000,  1.4640,1155.5676,  2.1563
984.1922,  1.0563,1124.6286,  1.6560,1157.0370,  1.4656,1157.6056,  2.1575
985.9249,  1.0583,1126.6086,  1.6586,1159.0741,  1.4673,1159.6436,  2.1588
987.6577,  1.0603,1128.5886,  1.6612,1161.1111,  1.4689,1161.6817,  2.1601
989.3904,  1.0622,1130.5686,  1.6637,1163.1481,  1.4706,1163.7197,  2.1613
991.1231,  1.0642,1132.5485,  1.6663,1165.1852,  1.4722,1165.7578,  2.1626
992.8559,  1.0661,1134.5285,  1.6689,1167.2222,  1.4739,1167.7958,  2.1639
994.5886,  1.0681,1136.5085,  1.6714,1169.2593,  1.4755,1169.8338,  2.1651
996.3213,  1.0701,1138.4885,  1.6740,1171.2963,  1.4771,1171.8719,  2.1664
998.0541,  1.0720,1140.4685,  1.6766,1173.3333,  1.4788,1173.9099,  2.1676
999.7868,  1.0740,1142.4484,  1.6791,1175.3704,  1.4804,1175.9479,  2.1689
1001.5195,  1.0759,1144.4284,  1.6817,1177.4074,  1.4821,1177.9860,  2.1702
1003.2523,  1.0779,1146.4084,  1.6840,1179.4444,  1.4837,1180.0240,  2.1714
1004.9850,  1.0799,1148.3884,  1.6855,1181.4815,  1.4854,1182.0621,  2.1727
1006.7177,  1.0818,1150.3684,  1.6869,1183.5185,  1.4870,1184.1001,  2.1740
1008.4505,  1.0838,1152.3483,  1.6884,1185.5556,  1.4886,1186.1381,  2.1752
1010.1832,  1.0857,1154.3283,  1.6898,1187.5926,  1.4903,1188.1762,  2.1765
1011.9159,  1.0877,1156.3083,  1.6913,1189.6296,  1.4919,1190.2142,  2.1778
1013.6486,  1.0897,1158.2883,  1.6927,1191.6667,  1.4936,1192.2523,  2.1790
1015.3814,  1.0916,1160.2683,  1.6942,1193.7037,  1.4952,1194.2903,  2.1803
1017.1141,  1.0936,1162.2482,  1.6956,1195.7407,  1.4967,1196.3283,  2.1815
1018.8468,  1.0955,1164.2282,  1.6971,1197.7778,  1.4979,1198.3664,  2.1828
1020.5796,  1.0975,1166.2082,  1.6985,1199.8148,  1.4992,1200.4044,  2.1841
1022.3123,  1.0995,1168.1882,  1.7000,1201.8519,  1.5004,1202.4424,  2.1853
1024.0450,  1.1014,1170.1682,  1.7014,1203.8889,  1.5016,1204.4805,  2.1866
1025.7778,  1.1034,1172.1481,  1.7029,1205.9259,  1.5029,1206.5185,  2.1879
1027.5105,  1.1053,1174.1281,  1.7044,1207.9630,  1.5041,1208.5566,  2.1891
1029.2432,  1.1073,1176.1081,  1.7058,1210.0000,  1.5053,1210.5946,  2.1904
1030.9760,  1.1093,1178.0881,  1.7073,1212.0370,  1.5066,1212.6326,  2.1916
1032.7087,  1.1112,1180.0681,  1.7087,1214.0741,  1.5078,1214.6707,  2.1929
1034.4414,  1.1132,1182.0480,  1.7102,1216.1111,  1.5090,1216.7087,  2.1942
1036.1742,  1.1151,1184.0280,  1.7116,1218.1481,  1.5103,1218.7467,  2.1954
1037.9069,  1.1171,1186.0080,  1.7131,1220.1852,  1.5115,1220.7848,  2.1967
1039.6396,  1.1191,1187.9880,  1.7145,1222.2222,  1.5127,1222.8228,  2.1980
1041.3724,  1.1210,1189.9680,  1.7160,1224.2593,  1.5140,1224.8609,  2.1992
1043.1051,  1.1230,1191.9479,  1.7174,1226.2963,  1.5152,1226.8989,  2.2005
1044.8378,  1.1249,1193.9279,  1.7189,1228.3333,  1.5164,1228.9369,  2.2018
1046.5706,  1.1269,1195.9079,  1.7203,1230.3704,  1.5177,1230.9750,  2.2030
1048.3033,  1.1289,1197.8879,  1.7218,1232.4074,  1.5189,1233.0130,  2.2043
1050.0360,  1.1308,1199.8679,  1.7232,1234.4444,  1.5201,1235.0511,  2.2056
1051.7688,  1.1328,1201.8478,  1.7247,1236.4815,  1.5214,1237.0891,  2.2079
1053.5015,  1.1347,1203.8278,  1.7261,1238.5185,  1.5226,1239.1271,  2.2102
1055.2342,  1.1367,1205.8078,  1.7276,1240.5556,  1.5238,1241.1652,  2.2125
1056.9670,  1.1387,1207.7878,  1.7290,1242.5926,  1.5251,1243.2032,  2.2148
1058.6997,  1.1406,1209.7678,  1.7305,1244.6296,  1.5263,1245.2412,  2.2171
