0.0mA_x,0.0mA_y,0.1mA_x,0.1mA_y,0.2mA_x,0.2mA_y,0.3mA_x,0.3mA_y
114.3604,  0.9380,130.6787,  0.9374,134.4444,  1.0194,134.5105,  1.1932
116.0931,  0.9371,132.6587,  0.9365,136.4815,  1.0197,136.5485,  1.1961
117.8258,  0.9361,134.6386,  0.9355,138.5185,  1.0200,138.5866,  1.1990
119.5586,  0.9352,136.6186,  0.9346,140.5556,  1.0203,140.6246,  1.2019
121.2913,  0.9342,138.5986,  0.9336,142.5926,  1.0206,142.6627,  1.2049
123.0240,  0.9333,140.5786,  0.9327,144.6296,  1.0209,144.7007,  1.2078
124.7568,  0.9324,142.5586,  0.9317,146.6667,  1.0212,146.7387,  1.2107
126.4895,  0.9314,144.5385,  0.9308,148.7037,  1.0215,148.7768,  1.2137
128.2222,  0.9305,146.5185,  0.9298,150.7407,  1.0218,150.8148,  1.2166
129.9550,  0.9295,148.4985,  0.9289,152.7778,  1.0221,152.8529,  1.2195
131.6877,  0.9286,150.4785,  0.9279,154.8148,  1.0224,154.8909,  1.2224
133.4204,  0.9277,152.4585,  0.9270,156.8519,  1.0227,156.9289,  1.2254
135.1532,  0.9267,154.4384,  0.9260,158.8889,  1.0230,158.9670,  1.2283
136.8859,  0.9258,156.4184,  0.9251,160.9259,  1.0233,161.0050,  1.2312
138.6186,  0.9248,158.3984,  0.9241,162.9630,  1.0236,163.0430,  1.2341
140.3514,  0.9239,160.3784,  0.9232,165.0000,  1.0238,165.0811,  1.2371
142.0841,  0.9230,162.3584,  0.9222,167.0370,  1.0241,167.1191,  1.2400
143.8168,  0.9220,164.3383,  0.9213,169.0741,  1.0244,169.1572,  1.2429
145.5495,  0.9211,166.3183,  0.9203,171.1111,  1.0247,171.1952,  1.2458
147.2823,  0.9201,168.2983,  0.9194,173.1481,  1.0250,173.2332,  1.2488
149.0150,  0.9192,170.2783,  0.9184,175.1852,  1.0253,175.2713,  1.2517
150.7477,  0.9183,172.2583,  0.9175,177.2222,  1.0256,177.3093,  1.2546
152.4805,  0.9173,174.2382,  0.9165,179.2593,  1.0259,179.3473,  1.2576
154.2132,  0.9164,176.2182,  0.9156,181.2963,  1.0262,181.3854,  1.2605
155.9459,  0.9154,178.1982,  0.9146,183.3333,  1.0265,183.4234,  1.2634
157.6787,  0.9145,180.1782,  0.9137,185.3704,  1.0268,185.4615,  1.2663
159.4114,  0.9136,182.1582,  0.9127,187.4074,  1.0271,187.4995,  1.2693
161.1441,  0.9126,184.1381,  0.9118,189.4444,  1.0274,189.5375,  1.2722
162.8769,  0.9117,186.1181,  0.9109,191.4815,  1.0277,191.5756,  1.2751
164.6096,  0.9107,188.0981,  0.9099,193.5185,  1.0280,193.6136,  1.2780
166.3423,  0.9098,190.0781,  0.9090,195.5556,  1.0283,195.6517,  1.2810
168.0751,  0.9089,192.0581,  0.9080,197.5926,  1.0286,197.6897,  1.2839
169.8078,  0.9079,194.0380,  0.9071,199.6296,  1.0289,199.7277,  1.2868
171.5405,  0.9070,196.0180,  0.9061,201.6667,  1.0291,201.7658,  1.2898
173.2733,  0.9060,197.9980,  0.9052,203.7037,  1.0294,203.8038,  1.2927
175.0060,  0.9051,199.9780,  0.9042,205.7407,  1.0297,205.8418,  1.2956
176.7387,  0.9042,201.9580,  0.9033,207.7778,  1.0300,207.8799,  1.2985
178.4715,  0.9032,203.9379,  0.9023,209.8148,  1.0303,209.9179,  1.3015
180.2042,  0.9023,205.9179,  0.9014,211.8519,  1.0306,211.9560,  1.3044
181.9369,  0.9014,207.8979,  0.9004,213.8889,  1.0309,213.9940,  1.3073
183.6697,  0.9004,209.8779,  0.8995,215.9259,  1.0312,216.0320,  1.3102
185.4024,  0.8995,211.8579,  0.8985,217.9630,  1.0315,218.0701,  1.3132
187.1351,  0.8985,213.8378,  0.8976,220.0000,  1.0318,220.1081,  1.3161
188.8679,  0.8976,215.8178,  0.8966,222.0370,  1.0321,222.1461,  1.3190
190.6006,  0.8967,217.7978,  0.8957,224.0741,  1.0324,224.1842,  1.3219
192.3333,  0.8957,219.7778,  0.8947,226.1111,  1.0327,226.2222,  1.3249
194.0661,  0.8948,221.7578,  0.8938,228.1481,  1.0330,228.2603,  1.3278
195.7988,  0.8938,223.7377,  0.8928,230.1852,  1.0333,230.2983,  1.3307
197.5315,  0.8929,225.7177,  0.8919,232.2222,  1.0336,232.3363,  1.3337
199.2643,  0.8920,227.6977,  0.8909,234.2593,  1.0339,234.3744,  1.3366
200.9970,  0.8910,229.6777,  0.8900,236.2963,  1.0341,236.4124,  1.3395
202.7297,  0.8901,231.6577,  0.8890,238.3333,  1.0344,238.4505,  1.3424
204.4625,  0.8891,233.6376,  0.8881,240.3704,  1.0347,240.4885,  1.3454
206.1952,  0.8882,235.6176,  0.8871,242.4074,  1.0350,242.5265,  1.3483
207.9279,  0.8873,237.5976,  0.8862,244.4444,  1.0353,244.5646,  1.3512
209.6607,  0.8863,239.5776,  0.8852,246.4815,  1.0356,246.6026,  1.3542
211.3934,  0.8854,241.5576,  0.8843,248.5185,  1.0359,248.6406,  1.3572
213.1261,  0.8844,243.5375,  0.8833,250.5556,  1.0362,250.6787,  1.3603
214.8589,  0.8835,245.5175,  0.8824,252.5926,  1.0365,252.7167,  1.3639
216.5916,  0.8826,247.4975,  0.8815,254.6296,  1.0368,254.7548,  1.3674
218.3243,  0.8816,249.4775,  0.8805,256.6667,  1.0371,256.7928,  1.3709
220.0571,  0.8807,251.4575,  0.8796,258.7037,  1.0374,258.8308,  1.3744
221.7898,  0.8797,253.4374,  0.8786,260.7407,  1.0378,260.8689,  1.3779
223.5225,  0.8788,255.4174,  0.8777,262.7778,  1.0382,262.9069,  1.3815
